year,title,authors,venue,type,cited_by_count,doi,openalex_id
2021,Skyline Batch: An Intuitive User Interface for Batch Processing with Skyline,Alexandra N. Marsh; Vagisha Sharma; Surya K. Mani; Olga Vitek; Michael J. MacCoss; Brendan MacLean,Journal of Proteome Research,article,9,10.1021/acs.jproteome.1c00749,https://openalex.org/W4200628136
2020,A proteomic atlas of senescence-associated secretomes for aging biomarker development,Nathan Basisty; Abhijit Kale; Ok Hee Jeon; Chisaka Kuehnemann; Therese Payne; Chirag Rao; Anja Holtz; Samah Shah; Vagisha Sharma; Luigi Ferrucci; Judith Campisi; Birgit Schilling,PLoS Biology,article,1312,10.1371/journal.pbio.3000599,https://openalex.org/W3000364256
2020,Skyline for Small Molecules: A Unifying Software Package for Quantitative Metabolomics,Kendra J. Adams; Brian Pratt; Neelanjan Bose; Laura G. Dubois; Lisa St. John‐Williams; Kevin M. Perrott; Karina Ky; Pankaj Kapahi; Vagisha Sharma; Michael J. MacCoss; M. Arthur Moseley; Carol A. Colton; Brendan MacLean; Birgit Schilling; J. Will Thompson; Alzheimer’s Disease Metabolomics Consortium,Journal of Proteome Research,article,637,10.1021/acs.jproteome.9b00640,https://openalex.org/W3003572520
2020,Audit logs to enforce document integrity in Skyline and Panorama,Tobias Rohde; Rita Chupalov; Nicholas Shulman; Vagisha Sharma; Josh Eckels; Brian Pratt; Michael J. MacCoss; Brendan MacLean,Bioinformatics,article,5,10.1093/bioinformatics/btaa547,https://openalex.org/W3030308483
2020,The HUPO-PSI standardized spectral library format,"Ralf Gabriels; Nuno Bandeira; Wout Bittremieux; Jeremy Carver; Chambers, Matthew; Shin Kawano; Henry Lam; Tytus D. Mak; Yasset Pérez‐Riverol; Benjamin J Pullman; Vagisha Sharma; Jim Shofstahl; Tim Van Den Bossche; Juan Antonio Vizcaíno; Yunping Zhu; Eric W. Deutsch",Ghent University Academic Bibliography (Ghent University),conference-paper,0,10.5281/zenodo.3607178,https://openalex.org/W3002003161
2019,The ProteomeXchange consortium in 2020: enabling ‘big data’ approaches in proteomics,Eric W. Deutsch; Nuno Bandeira; Vagisha Sharma; Yasset Pérez‐Riverol; Jeremy Carver; Deepti J Kundu; David García‐Seisdedos; Andrew F. Jarnuczak; Suresh Hewapathirana; Benjamin Pullman; Julie Wertz; Zhi Sun; Shin Kawano; Shujiro Okuda; Yu Watanabe; Henning Hermjakob; Brendan MacLean; Michael J. MacCoss; Yunping Zhu; Yasushi Ishihama; Juan Antonio Vizcaíno,Nucleic Acids Research,article,778,10.1093/nar/gkz984,https://openalex.org/W2986041539
2019,A Proteomic Atlas of Senescence-Associated Secretomes for Aging Biomarker Development,Nathan Basisty; Abhijit Kale; Ok‐Hee Jeon; Chisaka Kuehnemann; Therese Payne; Chirag Rao; Anja Holtz; Samah Shah; Vagisha Sharma; Luigi Ferrucci; Judith Campisi; Birgit Schilling,bioRxiv (Cold Spring Harbor Laboratory),preprint,111,10.1101/604306,https://openalex.org/W2937477596
2019,piNET: a versatile web platform for downstream analysis and visualization of proteomics data,Behrouz Shamsaei; Szymon Chojnacki; Marcin Pilarczyk; Mehdi Fazel Najafabadi; Chuming Chen; Karen Ross; Andrea Matlock; Jeremy L. Muhlich; Somchai Chutipongtanate; D. Vidović; Vagisha Sharma; Juozas Vasiliauskas; Jake Jaffe; Michael J. MacCoss; Cathy Wu; Ajay Pillai; Avi Ma’ayan; Stephan C. Schürer; Mario Medvedovic; Jarek Meller,bioRxiv (Cold Spring Harbor Laboratory),preprint,2,10.1101/607432,https://openalex.org/W2937896859
2018,Panorama Public: A Public Repository for Quantitative Data Sets Processed in Skyline,Vagisha Sharma; Josh Eckels; Birgit Schilling; Christina Ludwig; Jacob D. Jaffe; Michael J. MacCoss; Brendan MacLean,Molecular & Cellular Proteomics,article,286,10.1074/mcp.ra117.000543,https://openalex.org/W2793610094
2018,A Library of Phosphoproteomic and Chromatin Signatures for Characterizing Cellular Responses to Drug Perturbations,Lev Litichevskiy; Ryan Peckner; Jennifer G. Abelin; Jacob K. Asiedu; Amanda L. Creech; John F. Davis; Desiree Davison; Caitlin M. Dunning; Jarrett D. Egertson; Shawn B. Egri; Joshua Gould; Tak Ko; Sarah Johnson; David L. Lahr; Daniel D. Lam; Zihan Liu; Nicholas Lyons; Xiaodong Lü; Brendan MacLean; Alison E. Mungenast; Adam Officer; Ted Natoli; Malvina Papanastasiou; Jinal Patel; Vagisha Sharma; Courtney Toder; Andrew A. Tubelli; Jennie Z. Young; Steven A. Carr; Todd R. Golub; Aravind Subramanian; Michael J. MacCoss; Li‐Huei Tsai; Jacob D. Jaffe,Cell Systems,article,96,10.1016/j.cels.2018.03.012,https://openalex.org/W2751974426
2017,A Library of Phosphoproteomic and Chromatin Signatures for Characterizing Cellular Responses to Drug Perturbations,Lev Litichevskiy; Ryan Peckner; Jennifer G. Abelin; Jacob K. Asiedu; Amanda L. Creech; John F. Davis; Desiree Davison; Caitlin M. Dunning; Jarrett D. Egertson; Shawn B. Egri; Joshua Gould; Tak Ko; Sarah Johnson; David L. Lahr; Daniel D. Lam; Zihan Liu; Nicholas Lyons; Xiaodong Lü; Brendan MacLean; Alison E. Mungenast; Adam Officer; Ted Natoli; Malvina Papanastasiou; Jinal Patel; Vagisha Sharma; Courtney Toder; Andrew A. Tubelli; Jennie Z. Young; Steven A. Carr; Todd R. Golub; Aravind Subramanian; Michael J. MacCoss; Li‐Huei Tsai; Jacob D. Jaffe,bioRxiv (Cold Spring Harbor Laboratory),preprint,3,10.1101/185918,https://openalex.org/W2952121778
2016,Using the CPTAC Assay Portal to Identify and Implement Highly Characterized Targeted Proteomics Assays,Jeffrey R. Whiteaker; Goran N. Halusa; Andrew N. Hoofnagle; Vagisha Sharma; Brendan MacLean; Ping Yan; John A. Wrobel; Jacob J. Kennedy; D.R. Mani; Lisa J. Zimmerman; Matthew R. Meyer; Mehdi Mesri; Emily S. Boja; Steven A. Carr; Daniel W. Chan; Xian Chen; Jing Chen; Sherri R. Davies; Matthew J. Ellis; David Fenyö; Tara Hiltke; Karen A. Ketchum; Chris Kinsinger; Eric Kuhn; D.C. Liebler; Tao Liu; Michael Loss; Michael J. MacCoss; Weijun Qian; Robert Rivers; Karin Rodland; Kelly V. Ruggles; Mitchell G. Scott; Richard Smith; Stefani N. Thomas; R. Reid Townsend; Gordon Whiteley; Chaochao Wu; Hui Zhang; Zhen Zhang; Henry Rodriguez; Amanda G. Paulovich,Methods in molecular biology,book-chapter,101,10.1007/978-1-4939-3524-6_13,https://openalex.org/W2469445017
2016,An Automated Pipeline to Monitor System Performance in Liquid Chromatography–Tandem Mass Spectrometry Proteomic Experiments,Michael S. Bereman; Joshua Beri; Vagisha Sharma; Cory Nathe; Josh Eckels; Brendan MacLean; Michael J. MacCoss,Journal of Proteome Research,article,74,10.1021/acs.jproteome.6b00744,https://openalex.org/W2524383220
2015,Visualization and Dissemination of Multidimensional Proteomics Data Comparing Protein Abundance During <i>Caenorhabditis elegans</i> Development,Michael Riffle; Gennifer E. Merrihew; Daniel Jaschob; Vagisha Sharma; Trisha N. Davis; William Stafford Noble; Michael J. MacCoss,Journal of the American Society for Mass Spectrometry,article,7,10.1007/s13361-015-1193-z,https://openalex.org/W768464191
2014,CPTAC Assay Portal: a repository of targeted proteomic assays,Jeffrey R. Whiteaker; Goran N. Halusa; Andrew N. Hoofnagle; Vagisha Sharma; Brendan MacLean; Ping Yan; John A. Wrobel; Jacob J. Kennedy; D.R. Mani; Lisa J. Zimmerman; Matthew R. Meyer; Mehdi Mesri; Henry Rodriguez; Amanda G. Paulovich,Nature Methods,article,265,10.1038/nmeth.3002,https://openalex.org/W2012900739
2014,Panorama: A Targeted Proteomics Knowledge Base,Vagisha Sharma; Josh Eckels; Greg Taylor; Nicholas Shulman; Andrew B. Stergachis; Shannon Joyner; Ping Yan; Jeffrey R. Whiteaker; Goran N. Halusa; Birgit Schilling; Bradford W. Gibson; Christopher M. Colangelo; Amanda G. Paulovich; Steven A. Carr; Jacob D. Jaffe; Michael J. MacCoss; Brendan MacLean,Journal of Proteome Research,article,237,10.1021/pr5006636,https://openalex.org/W1995403127
2014,A framework for installable external tools in Skyline,Daniel Broudy; Trevor Killeen; Meena Choi; Nicholas Shulman; D.R. Mani; Susan E. Abbatiello; D.R. Mani; Rushdy Ahmad; Alexandria K. Sahu; Birgit Schilling; Kaipo Tamura; Yuval Boss; Vagisha Sharma; Bradford W. Gibson; Steven A. Carr; Olga Vitek; Michael J. MacCoss; Brendan MacLean,Bioinformatics,article,36,10.1093/bioinformatics/btu148,https://openalex.org/W2101186567
2013,XLink-DB: Database and Software Tools for Storing and Visualizing Protein Interaction Topology Data,Chunxiang Zheng; Chad R. Weisbrod; Juan D. Chavez; Jimmy K. Eng; Vagisha Sharma; Xia Wu; James E. Bruce,Journal of Proteome Research,article,50,10.1021/pr301162j,https://openalex.org/W2015278001
2012,A Mass Spectrometry Proteomics Data Management Platform,Vagisha Sharma; Jimmy K. Eng; Michael J. MacCoss; Michael Riffle,Molecular & Cellular Proteomics,article,41,10.1074/mcp.o111.015149,https://openalex.org/W2033758263
2012,P1) Technology Development in a Multidisciplinary Center,Trisha N. Davis; Daniel A. Skelly; Gennifer E. Merrihew; Michael Riffle; Sara J. Cooper; Emily Mitchell; Beth Graczyk; Vagisha Sharma; Daniel Jaschob; William Stafford Noble; Stanley Fields; Michael J. MacCoss; Eric G. Muller; Maitreya J. Dunham; Joshua M. Akey,Europe PMC (PubMed Central),article,0,,https://openalex.org/W818589921
2010,Precursor Charge State Prediction for Electron Transfer Dissociation Tandem Mass Spectra,Vagisha Sharma; Jimmy K. Eng; Sergey Feldman; Priska D. von Haller; Michael J. MacCoss; William Stafford Noble,Journal of Proteome Research,article,13,10.1021/pr1006685,https://openalex.org/W1981285461
2008,Corra: Computational framework and tools for LC-MS discovery and targeted mass spectrometry-based proteomics,Mi‐Youn Brusniak; Bernd Bodenmiller; David Campbell; Kelly Cooke; James S. Eddes; Andrew Garbutt; Hollis Lau; Simon Letarte; Lukas Mueller; Vagisha Sharma; Olga Vitek; Ning Zhang; Ruedi Aebersold; Julian D. Watts,BMC Bioinformatics,article,74,10.1186/1471-2105-9-542,https://openalex.org/W2068703118
